text,department,sentiment,urgency,is_abusive
"Product damaged mila box kholne par, quality check nahi tha ummeed hai theek hoga",E-Commerce,neutral,low,0
Station par porter ne bahut zyada charge kiya dekhte hain kya hota hai,Railways,neutral,low,0
"Call drop ho rahi hai baar baar, baat nahi ho pa rahi fraud system hai ye",Telecom,negative,medium,1
"Call drop ho rahi hai baar baar, baat nahi ho pa rahi update chahiye complaint ka",Telecom,neutral,medium,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai pichle baar bahut achha support mila tha",Telecom,positive,low,0
Sarkari officer bribe maang raha hai kaam karne ke liye team pe bharosa hai,Government,positive,low,0
Data pack khatam nahi hua tha fir bhi band kar diya ummeed hai is baar bhi theek kar denge,Telecom,positive,low,0
"mera account se paise kat gaye bina kisi reason ke, please help karo mujhe jaankari chahiye",Banking,neutral,low,0
"Meter reading galat hai, humne check kiya pareshaan kar diya",Electricity,negative,low,0
Platform ticket machine kaam nahi kar rahi ye toh zabardasti hai,Railways,negative,low,0
"Bank branch mein koi sunata hi nahi, staff bahut rude hai emergency hai abhi turant help chahiye",Banking,negative,high,0
Port request reject kar diya bina koi reason bataye solution chahiye,Telecom,neutral,low,0
"Loan EMI double deduct ho gayi is month, very frustrating complaint darz kar raha hoon",Banking,neutral,medium,0
"Product quality bahut kharab hai, waste of money very disappointed",E-Commerce,negative,medium,0
"SMS nahi aa raha important messages, very problematic aasha hai jaldi theek hoga",Telecom,positive,low,0
Order cancel kar diya aapne meri permission bina confident hoon aap resolve kar lenge,E-Commerce,positive,low,0
"Supply 12 ghante se band hai, koi update nahi de raha confident hoon aap resolve kar lenge",Electricity,positive,low,0
"Ambulance bahut late aayi emergency mein, dangerous tha inform kar dena jab theek ho",Healthcare,neutral,medium,0
"Fake product mila, original nahi tha bilkul bahut shukriya pehle se help ke liye",E-Commerce,positive,low,0
"Train mein theft ho gaya, TTE kuch nahi kar raha solution chahiye",Railways,neutral,medium,0
"Fake product mila, original nahi tha bilkul koi bata sakta hai kya",E-Commerce,neutral,medium,0
Interest rate galat calculate ki gayi meri FD par bijli 12 ghante se gai hai emergency hai,Banking,negative,high,0
"Bank branch mein koi sunata hi nahi, staff bahut rude hai ummeed hai theek hoga",Banking,neutral,low,0
Hospital bill mein galat charges add kiye gaye hain cheat kar rahe ho khullam khulla,Healthcare,negative,medium,1
"Customer care number pe koi nahi uthata, 1 ghante se hold par hoon bahut nirasha hui",Telecom,negative,low,0
"Product damaged mila box kholne par, quality check nahi tha itna bura experience pehle kabhi nahi tha",E-Commerce,negative,medium,0
Sarkari officer bribe maang raha hai kaam karne ke liye ye toh zabardasti hai,Government,negative,medium,0
"Net banking band ho gaya hai, login nahi ho raha bilkul bhi confident hoon aap resolve kar lenge",Banking,positive,low,0
Sarkari officer bribe maang raha hai kaam karne ke liye inform kar dena jab theek ho,Government,neutral,low,0
"Customer care number pe koi nahi uthata, 1 ghante se hold par hoon please help karo",Telecom,neutral,medium,0
Caste certificate reject ho gaya without reason aap log bahut helpful hote hain usually,Government,positive,low,0
Port request reject kar diya bina koi reason bataye bahut shukriya pehle se help ke liye,Telecom,positive,low,0
"Waiting room ki haalat bahut kharab hai, cleaning nahi hoti pichle baar bahut achha support mila tha",Railways,positive,low,0
New connection ke liye 3 mahine se wait kar rahe hain bohot pareshaan hoon is issue se please help,Electricity,neutral,medium,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai itna bura experience pehle kabhi nahi tha",Telecom,negative,medium,0
"Recharge kiya par balance nahi aaya, paisa waste ho gaya critical situation hai please help karo abhi",Telecom,negative,high,0
"Network nahi aa raha ghar pe, signal bilkul zero hai please resolve",Telecom,neutral,low,0
Mera savings account freeze kar diya without any notice inform kar dena jab theek ho,Banking,neutral,low,0
Insurance claim reject ho gaya without valid reason shame on you,Healthcare,negative,low,0
"AC coach mein AC band hai, bahut garmi ho rahi hai ummeed hai is baar bhi theek kar denge",Railways,positive,low,0
"Recharge kiya par balance nahi aaya, paisa waste ho gaya aasha hai jaldi theek hoga",Telecom,positive,low,0
Caste certificate reject ho gaya without reason request hai,Government,neutral,low,0
"Wrong product bheja gaya, size aur color dono galat request hai",E-Commerce,neutral,medium,0
New connection ke liye 3 mahine se wait kar rahe hain ambulance late aayi aur patient critical tha,Electricity,negative,high,0
"Train 5 ghante late hai, koi announcement nahi ki pichle baar bahut achha support mila tha",Railways,positive,low,0
Interest rate galat calculate ki gayi meri FD par no rush but complaint darz kar raha hoon,Banking,neutral,low,0
"SMS nahi aa raha important messages, very problematic please resolve",Telecom,neutral,medium,0
ATM se cash nahi nikla but account se deduct ho gaya yaar bewakoof log,Banking,negative,medium,1
"Network nahi aa raha ghar pe, signal bilkul zero hai jaan ka khatra hai please urgent basis par",Telecom,negative,high,0
"FD maturity ke paise abhi tak nahi mile, kitna wait karein bahut gussa aa raha hai",Banking,negative,low,0
5G plan liya par 4G bhi nahi milta area mein mujhe jaankari chahiye,Telecom,neutral,low,0
"Recharge kiya par balance nahi aaya, paisa waste ho gaya inform kar dena jab theek ho",Telecom,neutral,low,0
"Transformer kharab hai colony mein, koi nahi aa raha fix karne pareshaan kar diya",Electricity,negative,medium,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai sab jhooth bolte ho",Telecom,negative,medium,0
"mera account se paise kat gaye bina kisi reason ke, please help karo solution chahiye",Banking,neutral,low,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai aap log bahut helpful hote hain usually",Telecom,positive,low,0
"Lineman bribe maang raha hai connection ke liye, wrong hai ye pichle baar bahut achha support mila tha",Electricity,positive,low,0
"Network nahi aa raha ghar pe, signal bilkul zero hai aap log bahut helpful hote hain usually",Telecom,positive,low,0
"Mera cheque bounce ho gaya unnecessarily, koi reason nahi diya itna bura experience pehle kabhi nahi tha",Banking,negative,low,0
ATM se cash nahi nikla but account se deduct ho gaya yaar confident hoon aap resolve kar lenge,Banking,positive,low,0
"Mera cheque bounce ho gaya unnecessarily, koi reason nahi diya solution chahiye",Banking,neutral,low,0
"Doctor ne theek se examine nahi kiya, jaldi mein tha ambulance late aayi aur patient critical tha",Healthcare,negative,high,0
"Power cut ho rahi hai roz roz, kab theek hoga mujhe jaankari chahiye",Electricity,neutral,medium,0
"Wrong product bheja gaya, size aur color dono galat please resolve",E-Commerce,neutral,low,0
Discount nahi mila jo website par show ho raha tha let me know the status,E-Commerce,neutral,medium,0
Caste certificate reject ho gaya without reason koi bata sakta hai kya,Government,neutral,medium,0
New connection ke liye 3 mahine se wait kar rahe hain bahut bura laga,Electricity,negative,low,0
Order deliver nahi hua par delivered show ho raha hai app mein bahut bura laga,E-Commerce,negative,medium,0
"Train 5 ghante late hai, koi announcement nahi ki kab theek hoga",Railways,negative,low,0
"Product quality bahut kharab hai, waste of money ummeed hai is baar bhi theek kar denge",E-Commerce,positive,low,0
"Credit card ka bill galat hai, extra charges laga diye unhone dekhte hain kya hota hai",Banking,neutral,low,0
"Delivery boy ne rude behave kiya, acceptable nahi ummeed hai is baar bhi theek kar denge",E-Commerce,positive,low,0
"Lab report galat aayi, second test mein alag results solution chahiye",Healthcare,neutral,medium,0
Order deliver nahi hua par delivered show ho raha hai app mein bohot pareshaan hoon is issue se please help,E-Commerce,negative,medium,0
Insurance claim reject ho gaya without valid reason team pe bharosa hai,Healthcare,positive,low,0
"Loan EMI double deduct ho gayi is month, very frustrating ek baar bhi sahi se nahi kiya",Banking,negative,low,0
Mera savings account freeze kar diya without any notice sab jhooth bolte ho,Banking,negative,low,0
Voltage fluctuation se ghar ka saman kharab ho gaya bahut shukriya pehle se help ke liye,Electricity,positive,low,0
OTP nahi aa raha important verification ke liye very disappointed,Telecom,negative,low,0
PAN card address update nahi ho rahi online mujhe jaankari chahiye,Government,neutral,low,0
"AC coach mein AC band hai, bahut garmi ho rahi hai koi bata sakta hai kya",Railways,neutral,low,0
"COD order mein bhi advance payment maang rahe ho, why ek baar bhi sahi se nahi kiya",E-Commerce,negative,medium,0
Return request reject ho gaya bina reason ke dekhte hain kya hota hai,E-Commerce,neutral,low,0
"Train 5 ghante late hai, koi announcement nahi ki let me know the status",Railways,neutral,medium,0
"Wrong product bheja gaya, size aur color dono galat important kaam ruk gaya is wajah se please",E-Commerce,neutral,medium,0
New connection ke liye 3 mahine se wait kar rahe hain very disappointed,Electricity,negative,low,0
Seller ne galat description diya product ka please help karo,E-Commerce,neutral,low,0
Data pack khatam nahi hua tha fir bhi band kar diya no rush but complaint darz kar raha hoon,Telecom,neutral,low,0
"SMS nahi aa raha important messages, very problematic disgusting",Telecom,negative,medium,0
"Waiting room ki haalat bahut kharab hai, cleaning nahi hoti jaldi se theek karo yaar office mein problem ho rahi hai",Railways,negative,medium,0
"Power cut ho rahi hai roz roz, kab theek hoga pareshaan kar diya",Electricity,negative,medium,0
"Power cut ho rahi hai roz roz, kab theek hoga jab possible ho theek kar dena",Electricity,neutral,medium,0
Property registration mein delays ho rahi hain barbaad kar diya,Government,negative,medium,1
"Ward mein cleanliness bahut kharab hai, infection risk pichle baar bahut achha support mila tha",Healthcare,positive,low,0
"Bank branch mein koi sunata hi nahi, staff bahut rude hai update chahiye complaint ka",Banking,neutral,low,0
Voltage fluctuation se ghar ka saman kharab ho gaya ummeed hai is baar bhi theek kar denge,Electricity,positive,low,0
"Product quality bahut kharab hai, waste of money jaan ka khatra hai please urgent basis par",E-Commerce,negative,high,0
"Ambulance bahut late aayi emergency mein, dangerous tha ek baar bhi sahi se nahi kiya",Healthcare,negative,low,0
"Mera cheque bounce ho gaya unnecessarily, koi reason nahi diya jab possible ho theek kar dena",Banking,neutral,low,0
"Product quality bahut kharab hai, waste of money unacceptable",E-Commerce,negative,medium,0
OTP nahi aa raha important verification ke liye ummeed hai is baar bhi theek kar denge,Telecom,positive,low,0
"Lineman bribe maang raha hai connection ke liye, wrong hai ye ek baar bhi sahi se nahi kiya",Electricity,negative,low,0
"Pension ruk gayi hai, senior citizen ko bahut problem hai update chahiye complaint ka",Government,neutral,medium,0
Passport application status update nahi ho raha weeks se aap log bahut helpful hote hain usually,Government,positive,low,0
Income certificate ke liye 2 mahine se chakkar laga raha hoon let me know the status,Government,neutral,low,0
"Product quality bahut kharab hai, waste of money bewakoof log",E-Commerce,negative,medium,1
"Refund nahi mila cancelled ticket ka, 2 mahine ho gaye aasha hai jaldi theek hoga",Railways,positive,low,0
Property registration mein delays ho rahi hain inform kar dena jab theek ho,Government,neutral,low,0
"Bijli bill bahut zyada aaya is baar, double ho gaya complaint darz kar raha hoon",Electricity,neutral,medium,0
"Lab report galat aayi, second test mein alag results kaafi din se yeh problem chal rahi hai",Healthcare,negative,medium,0
"Recharge kiya par balance nahi aaya, paisa waste ho gaya dhoka hai ye",Telecom,negative,medium,1
"Credit card ka bill galat hai, extra charges laga diye unhone itna bura experience pehle kabhi nahi tha",Banking,negative,medium,0
Order deliver nahi hua par delivered show ho raha hai app mein bilkul galat hai,E-Commerce,negative,medium,0
Roaming charges bahut zyada laga diye trip mein bahut shukriya pehle se help ke liye,Telecom,positive,low,0
OTP nahi aa raha important verification ke liye solution chahiye,Telecom,neutral,medium,0
Online appointment system kaam nahi kar raha ummeed hai is baar bhi theek kar denge,Healthcare,positive,low,0
Bill online pay kiya par receipt nahi mili abhi tak ek baar bhi sahi se nahi kiya,Electricity,negative,low,0
Station par porter ne bahut zyada charge kiya critical situation hai please help karo abhi,Railways,negative,high,0
"AC coach mein AC band hai, bahut garmi ho rahi hai bijli 12 ghante se gai hai emergency hai",Railways,negative,high,0
"Train mein theft ho gaya, TTE kuch nahi kar raha pichle baar bahut achha support mila tha",Railways,positive,low,0
Ticket confirm nahi hua par paise kat gaye account se team pe bharosa hai,Railways,positive,low,0
"AC coach mein AC band hai, bahut garmi ho rahi hai update chahiye complaint ka",Railways,neutral,low,0
Bill online pay kiya par receipt nahi mili abhi tak team pe bharosa hai,Electricity,positive,low,0
"Waiting room ki haalat bahut kharab hai, cleaning nahi hoti unacceptable",Railways,negative,medium,0
"Train mein theft ho gaya, TTE kuch nahi kar raha sab jhooth bolte ho",Railways,negative,low,0
"FD maturity ke paise abhi tak nahi mile, kitna wait karein kab theek hoga",Banking,negative,medium,0
"Net banking band ho gaya hai, login nahi ho raha bilkul bhi worst service",Banking,negative,medium,0
"Meter reading galat hai, humne check kiya bahut gussa aa raha hai",Electricity,negative,medium,0
"Supply 12 ghante se band hai, koi update nahi de raha let me know the status",Electricity,neutral,medium,0
"Aadhaar update nahi ho raha, portal crash ho raha hai bimar bachha hai ghar mein urgent help",Government,negative,high,0
Data pack khatam nahi hua tha fir bhi band kar diya kab theek hoga,Telecom,negative,low,0
"Credit card ka bill galat hai, extra charges laga diye unhone disgusting",Banking,negative,low,0
"Doctor ne theek se examine nahi kiya, jaldi mein tha complaint darz kar raha hoon",Healthcare,neutral,medium,0
"Delivery boy ne rude behave kiya, acceptable nahi shame on you",E-Commerce,negative,low,0
"Ward mein cleanliness bahut kharab hai, infection risk bilkul galat hai",Healthcare,negative,low,0
PAN card address update nahi ho rahi online bahut gussa aa raha hai,Government,negative,low,0
Interest rate galat calculate ki gayi meri FD par ambulance late aayi aur patient critical tha,Banking,negative,high,0
Insurance claim reject ho gaya without valid reason jab possible ho theek kar dena,Healthcare,neutral,medium,0
Voltage fluctuation se ghar ka saman kharab ho gaya jaldi se theek karo yaar office mein problem ho rahi hai,Electricity,neutral,medium,0
"Pension ruk gayi hai, senior citizen ko bahut problem hai kab theek hoga",Government,negative,low,0
"Train mein theft ho gaya, TTE kuch nahi kar raha unacceptable",Railways,negative,low,0
Caste certificate reject ho gaya without reason bahut nirasha hui,Government,negative,medium,0
"Refund pending hai 15 din se, paisa wapas karo sab jhooth bolte ho",E-Commerce,negative,low,0
PAN card address update nahi ho rahi online jaan ka khatra hai please urgent basis par,Government,negative,high,0
Data pack khatam nahi hua tha fir bhi band kar diya dekhte hain kya hota hai,Telecom,neutral,low,0
"Medicine out of stock hai, alternative nahi bataya ummeed hai theek hoga",Healthcare,neutral,low,0
"Medicine out of stock hai, alternative nahi bataya bahut bura laga",Healthcare,negative,low,0
"Bijli bill bahut zyada aaya is baar, double ho gaya aasha hai jaldi theek hoga",Electricity,positive,low,0
"Supply 12 ghante se band hai, koi update nahi de raha solution chahiye",Electricity,neutral,medium,0
Ticket confirm nahi hua par paise kat gaye account se sab jhooth bolte ho,Railways,negative,low,0
New connection ke liye 3 mahine se wait kar rahe hain pichle baar bahut achha support mila tha,Electricity,positive,low,0
Doctor ne appointment cancel kar diya last minute par complaint darz kar raha hoon,Healthcare,neutral,medium,0
"Wrong product bheja gaya, size aur color dono galat aap log bahut helpful hote hain usually",E-Commerce,positive,low,0
Roaming charges bahut zyada laga diye trip mein solution chahiye,Telecom,neutral,medium,0
5G plan liya par 4G bhi nahi milta area mein bahut shukriya pehle se help ke liye,Telecom,positive,low,0
Return request reject ho gaya bina reason ke ummeed hai is baar bhi theek kar denge,E-Commerce,positive,low,0
"Waiting room ki haalat bahut kharab hai, cleaning nahi hoti update chahiye complaint ka",Railways,neutral,low,0
Return request reject ho gaya bina reason ke ummeed hai theek hoga,E-Commerce,neutral,low,0
"Customer care number pe koi nahi uthata, 1 ghante se hold par hoon aap log bahut helpful hote hain usually",Telecom,positive,low,0
"Medicine out of stock hai, alternative nahi bataya pareshaan kar diya",Healthcare,negative,medium,0
"Delivery boy ne rude behave kiya, acceptable nahi confident hoon aap resolve kar lenge",E-Commerce,positive,low,0
"Delivery boy ne rude behave kiya, acceptable nahi worst service",E-Commerce,negative,medium,0
Order deliver nahi hua par delivered show ho raha hai app mein fraud system hai ye,E-Commerce,negative,medium,1
Ticket confirm nahi hua par paise kat gaye account se complaint darz kar raha hoon,Railways,neutral,low,0
"Bijli bill bahut zyada aaya is baar, double ho gaya ek baar bhi sahi se nahi kiya",Electricity,negative,low,0
Medicines expire ho chuki thi jo di gayi pareshaan kar diya,Healthcare,negative,medium,0
Seller ne galat description diya product ka kab theek hoga,E-Commerce,negative,low,0
"Lab report galat aayi, second test mein alag results unacceptable",Healthcare,negative,low,0
"Net banking band ho gaya hai, login nahi ho raha bilkul bhi inform kar dena jab theek ho",Banking,neutral,medium,0
"Medicine out of stock hai, alternative nahi bataya jab possible ho theek kar dena",Healthcare,neutral,low,0
Platform ticket machine kaam nahi kar rahi itna bura experience pehle kabhi nahi tha,Railways,negative,low,0
"Ambulance bahut late aayi emergency mein, dangerous tha worst service",Healthcare,negative,medium,0
OTP nahi aa raha important verification ke liye pareshaan kar diya,Telecom,negative,low,0
RTI application ka jawab nahi mila 30 din mein slowly but theek kar dena please,Government,neutral,low,0
"Doctor ne theek se examine nahi kiya, jaldi mein tha bahut nirasha hui",Healthcare,negative,low,0
Caste certificate reject ho gaya without reason bewakoof log,Government,negative,medium,1
Platform ticket machine kaam nahi kar rahi bahut serious matter hai ye turant resolve karo,Railways,negative,high,0
"Transformer kharab hai colony mein, koi nahi aa raha fix karne bahut serious matter hai ye turant resolve karo",Electricity,negative,high,0
Seller ne galat description diya product ka har din aata hoon office mein issue hai,E-Commerce,neutral,medium,0
"Recharge kiya par balance nahi aaya, paisa waste ho gaya sab jhooth bolte ho",Telecom,negative,medium,0
"Medicine out of stock hai, alternative nahi bataya itna bura experience pehle kabhi nahi tha",Healthcare,negative,medium,0
Caste certificate reject ho gaya without reason no rush but complaint darz kar raha hoon,Government,neutral,low,0
Reservation coach mein general passengers aa gaye kaafi din se yeh problem chal rahi hai,Railways,neutral,medium,0
"Loan EMI double deduct ho gayi is month, very frustrating important kaam ruk gaya is wajah se please",Banking,negative,medium,0
"AC coach mein AC band hai, bahut garmi ho rahi hai ullu banate ho customers ko",Railways,negative,medium,1
"Khana bahut ganda tha train mein, quality zero hai aap log bahut helpful hote hain usually",Railways,positive,low,0
"Mera cheque bounce ho gaya unnecessarily, koi reason nahi diya jaldi se theek karo yaar office mein problem ho rahi hai",Banking,negative,medium,0
Interest rate galat calculate ki gayi meri FD par bilkul galat hai,Banking,negative,medium,0
OTP nahi aa raha important verification ke liye itna bura experience pehle kabhi nahi tha,Telecom,negative,medium,0
"Aadhaar update nahi ho raha, portal crash ho raha hai bahut shukriya pehle se help ke liye",Government,positive,low,0
Voltage fluctuation se ghar ka saman kharab ho gaya bahut nirasha hui,Electricity,negative,low,0
"Product damaged mila box kholne par, quality check nahi tha mujhe jaankari chahiye",E-Commerce,neutral,medium,0
"Customer care number pe koi nahi uthata, 1 ghante se hold par hoon mujhe jaankari chahiye",Telecom,neutral,low,0
"Customer care number pe koi nahi uthata, 1 ghante se hold par hoon emergency hai abhi turant help chahiye",Telecom,negative,high,0
ATM se cash nahi nikla but account se deduct ho gaya yaar koi bata sakta hai kya,Banking,neutral,low,0
Smart meter galat reading de raha hai inform kar dena jab theek ho,Electricity,neutral,medium,0
Medicines expire ho chuki thi jo di gayi please resolve,Healthcare,neutral,medium,0
Mera savings account freeze kar diya without any notice barbaad kar diya,Banking,negative,medium,1
"Supply 12 ghante se band hai, koi update nahi de raha shame on you",Electricity,negative,medium,0
"Fake product mila, original nahi tha bilkul complaint darz kar raha hoon",E-Commerce,neutral,medium,0
"Customer care number pe koi nahi uthata, 1 ghante se hold par hoon bahut gussa aa raha hai",Telecom,negative,low,0
"Waiting room ki haalat bahut kharab hai, cleaning nahi hoti dekhte hain kya hota hai",Railways,neutral,medium,0
Smart meter galat reading de raha hai confident hoon aap resolve kar lenge,Electricity,positive,low,0
"FD maturity ke paise abhi tak nahi mile, kitna wait karein ummeed hai is baar bhi theek kar denge",Banking,positive,low,0
"Refund nahi mila cancelled ticket ka, 2 mahine ho gaye let me know the status",Railways,neutral,low,0
RTI application ka jawab nahi mila 30 din mein mujhe jaankari chahiye,Government,neutral,medium,0
OTP nahi aa raha important verification ke liye jab possible ho theek kar dena,Telecom,neutral,low,0
Scholarship nahi mili jo milni chahiye thi students ko koi urgent nahi hai but issue hai please dekh lena,Government,neutral,low,0
Smart meter galat reading de raha hai pichle baar bahut achha support mila tha,Electricity,positive,low,0
"Aadhaar update nahi ho raha, portal crash ho raha hai bilkul galat hai",Government,negative,medium,0
"Call drop ho rahi hai baar baar, baat nahi ho pa rahi slowly but theek kar dena please",Telecom,neutral,low,0
Medicines expire ho chuki thi jo di gayi har din aata hoon office mein issue hai,Healthcare,neutral,medium,0
Property registration mein delays ho rahi hain itna bura experience pehle kabhi nahi tha,Government,negative,low,0
Hospital bill mein galat charges add kiye gaye hain let me know the status,Healthcare,neutral,low,0
"Power cut ho rahi hai roz roz, kab theek hoga aasha hai jaldi theek hoga",Electricity,positive,low,0
"Refund nahi mila cancelled ticket ka, 2 mahine ho gaye ummeed hai is baar bhi theek kar denge",Railways,positive,low,0
ATM se cash nahi nikla but account se deduct ho gaya yaar update chahiye complaint ka,Banking,neutral,medium,0
"Aadhaar update nahi ho raha, portal crash ho raha hai emergency hai abhi turant help chahiye",Government,negative,high,0
"Call drop ho rahi hai baar baar, baat nahi ho pa rahi request hai",Telecom,neutral,low,0
"Net banking band ho gaya hai, login nahi ho raha bilkul bhi sab jhooth bolte ho",Banking,negative,medium,0
Hospital bill mein galat charges add kiye gaye hain jaan ka khatra hai please urgent basis par,Healthcare,negative,high,0
"Waiting room ki haalat bahut kharab hai, cleaning nahi hoti ummeed hai theek hoga",Railways,neutral,medium,0
Order cancel kar diya aapne meri permission bina bahut serious matter hai ye turant resolve karo,E-Commerce,negative,high,0
Passport application status update nahi ho raha weeks se very disappointed,Government,negative,medium,0
"Bijli bill bahut zyada aaya is baar, double ho gaya update chahiye complaint ka",Electricity,neutral,medium,0
Port request reject kar diya bina koi reason bataye agar possible ho to theek kar dena,Telecom,neutral,low,0
Mera savings account freeze kar diya without any notice aap log bahut helpful hote hain usually,Banking,positive,low,0
"Delivery boy ne rude behave kiya, acceptable nahi update chahiye complaint ka",E-Commerce,neutral,medium,0
"Product quality bahut kharab hai, waste of money jab possible ho theek kar dena",E-Commerce,neutral,low,0
Voltage fluctuation se ghar ka saman kharab ho gaya request hai,Electricity,neutral,medium,0
PAN card address update nahi ho rahi online ummeed hai theek hoga,Government,neutral,low,0
"Wrong product bheja gaya, size aur color dono galat bilkul galat hai",E-Commerce,negative,low,0
Doctor ne appointment cancel kar diya last minute par bohot pareshaan hoon is issue se please help,Healthcare,negative,medium,0
Reservation coach mein general passengers aa gaye aap log bahut helpful hote hain usually,Railways,positive,low,0
Order cancel kar diya aapne meri permission bina solution chahiye,E-Commerce,neutral,medium,0
Order cancel kar diya aapne meri permission bina critical situation hai please help karo abhi,E-Commerce,negative,high,0
Roaming charges bahut zyada laga diye trip mein itna bura experience pehle kabhi nahi tha,Telecom,negative,low,0
"Supply 12 ghante se band hai, koi update nahi de raha update chahiye complaint ka",Electricity,neutral,low,0
"Wrong product bheja gaya, size aur color dono galat cheat kar rahe ho khullam khulla",E-Commerce,negative,medium,1
New connection ke liye 3 mahine se wait kar rahe hain slowly but theek kar dena please,Electricity,neutral,low,0
"Delivery boy ne rude behave kiya, acceptable nahi barbaad kar diya",E-Commerce,negative,medium,1
Platform ticket machine kaam nahi kar rahi bahut gussa aa raha hai,Railways,negative,low,0
"Transformer kharab hai colony mein, koi nahi aa raha fix karne bijli 12 ghante se gai hai emergency hai",Electricity,negative,high,0
5G plan liya par 4G bhi nahi milta area mein solution chahiye,Telecom,neutral,low,0
ATM se cash nahi nikla but account se deduct ho gaya yaar worst service,Banking,negative,medium,0
"AC coach mein AC band hai, bahut garmi ho rahi hai aasha hai jaldi theek hoga",Railways,positive,low,0
Discount nahi mila jo website par show ho raha tha ambulance late aayi aur patient critical tha,E-Commerce,negative,high,0
Medicines expire ho chuki thi jo di gayi bijli 12 ghante se gai hai emergency hai,Healthcare,negative,high,0
Property registration mein delays ho rahi hain confident hoon aap resolve kar lenge,Government,positive,low,0
"Credit card ka bill galat hai, extra charges laga diye unhone ye toh zabardasti hai",Banking,negative,medium,0
Income certificate ke liye 2 mahine se chakkar laga raha hoon complaint darz kar raha hoon,Government,neutral,low,0
Discount nahi mila jo website par show ho raha tha bahut shukriya pehle se help ke liye,E-Commerce,positive,low,0
Order cancel kar diya aapne meri permission bina bakwaas company hai,E-Commerce,negative,medium,1
